ID,ชื่อคดีต้นฉบับ,คำแปลภาษาไทย
Level 1,,
case_01,Case 01: Murder in Hollywood,คดีที่ 01: คดีฆาตกรรมกลางฮอลลีวูด
case_02,Case 02: And Then There Was Another One,คดีที่ 02: แล้วก็... โดนสอยไปอีกหนึ่ง
case_03,Case 03: The Art of the Kill,คดีที่ 03: ศิลปะแห่งการสังหาร
case_04,Case 04: The Last Train to Murder,คดีที่ 04: ขบวนสุดท้ายไปปรโลก
case_05,"Case 05: Physician, Heal Myself!",คดีที่ 05: หมอจ๋า... รักษาตัวเองก่อนไหม!
case_06,Case 06: Murder in the Alley,คดีที่ 06: คดีฆาตกรรมในซอยเปลี่ยว
case_07,Case 07: A Quaint Little Village Slaying,คดีที่ 07: คดีเชือดเงียบๆ ในหมู่บ้าน
case_08,Case 08: The Butler Did It (Die),คดีที่ 08: พ่อบ้านทำเอง (ตายเองด้วย)
case_09,"Case 09: Hedge Your Bets, The Constable Cried",คดีที่ 09: แทงกั๊กสิครับคุณจ่า!
case_10,"Case 10: Eat, Drink, and Be Merry, for a Jerk Just Died",คดีที่ 10: กิน ดื่ม และรื่นเริง... เพราะไอ้เบื๊อกนั่นเพิ่งม่องเท่ง
case_11,Case 11: The Case of the Coffee Shop Killer,คดีที่ 11: คดีนักฆ่าบาริสต้า
case_12,Case 12: The Mysterious Mystery Bookshop Mystery,คดีที่ 12: ปริศนาลี้ลับในร้านหนังสือลึกลับ
case_13,Case 13: The Killing of a Cowboy,คดีที่ 13: จับตายสิงห์ปืนไว
case_14,Case 14: A Very Proper Murder,คดีที่ 14: ฆาตกรรมแบบผู้ดีอังกฤษ
case_15,Case 15: The Perplexing Problem of the Parrot,คดีที่ 15: ปัญหาชวนปวดขมับของเจ้านกแก้ว
case_16,Case 16: Fifteen Percent of Murder,คดีที่ 16: หักหัวคิวฆาตกรรม 15 เปอร์เซ็นต์
case_17,Case 17: The Case of the Contract & the Captain,คดีที่ 17: คดีสัญญามรณะกับกัปตัน
case_18,Case 18: Throw the (Bookie-Winning) Book at Them!,คดีที่ 18: ปาตำรา (แทงบอล) ใส่หน้ามันเลย!
case_19,Case 19: Death on the Book Tour,คดีที่ 19: ทัวร์โปรโมตหนังสือมรณะ
case_20,Case 20: Dead Tired,คดีที่ 20: เหนื่อยสายตัวแทบขาด (ขาดใจตายจริงๆ)
