👤 1. ผู้ต้องสงสัย (Suspects),,
ชื่อผู้ต้องสงสัย (ไทย),ลักษณะ/เอกลักษณ์จากรูป,Font Awesome Pro Icon
ดิ อะเมซิ่ง ออรีโอลิน,หมวกนักมายากลและไม้กายสิทธิ์,fa-solid fa-hat-wizard
มิดไนท์ ที่ 3,แว่นกันแดดทรงนักบิน,fa-solid fa-sunglasses
เดม ออบซิเดียน,หมวกทรงปีกกว้าง (Cloche hat) ผู้หญิง,fa-solid fa-user-secret
ซินยอร์ เอเมอรัลด์,ช่างอัญมณีใส่สูททักซิโด้,fa-solid fa-user-tie
หลวงพ่อ แมงโก้,นักบวชศีรษะล้าน,fa-solid fa-user-priest
มิส ซัฟฟรอน,โบว์ผูกผมผู้หญิงสุดสวย,fa-solid fa-ribbon
กัปตัน สเลต,หมวกนักบินอวกาศหญิง,fa-solid fa-user-astronaut
บิชอป อะซูร์,หมวกของบิชอป,fa-solid fa-chess-bishop
ทนาย แบล็กสโตน,ทรงผมทนายความผู้ชาย,fa-solid fa-user-tie
รองประธานมอฟ,แว่นตา VR (Metaverse),fa-solid fa-vr-cardboard
เชฟออเบอร์จีน,หมวกเชฟ,fa-solid fa-hat-chef
นักปรัชญา โบน,แว่นตาและหนวด,fa-solid fa-glasses
เจ้าหน้าที่ คอปเปอร์,หมวกตำรวจหญิง,fa-solid fa-user-police
ดร. คริมสัน,หูฟังแพทย์ (Stethoscope),fa-solid fa-stethoscope
ซิสเตอร์ ลาพิส,ผ้าคลุมศีรษะแม่ชี,fa-solid fa-cross
นายพล คอฟฟี่,หมวกเบเร่ต์ทหาร,fa-solid fa-beret
มนุษย์อวกาศ บลูสกี้,หมวกนักบินอวกาศโซเวียต,fa-solid fa-rocket
มัคนายิกา เวอร์ดิกริส,แว่นตาทรงเหลี่ยมหนา,fa-solid fa-glasses
เอิร์ล เกรย์,แว่นตาข้างเดียว (Monocle) และหนวด,fa-solid fa-mustache
เซอร์ รูเลียน,ตัวหมากรุกม้า (Knight),fa-solid fa-chess-knight
ลอร์ด ลาเวนเดอร์,ทรงผมใส่วิกแบบขุนนาง,fa-solid fa-user-crown
บุ๊กกี้-วินเนอร์ เกนส์โบโร,แว่นตาทรงกลม,fa-solid fa-glasses-round
โค้ช แรสเบอร์รี / คาวบอย แรสเบอร์รี,หมวกคาวบอย / หมวกกันน็อก,fa-solid fa-hat-cowboy
ผู้พิพากษา ไพน์,วิกผมผู้พิพากษา,fa-solid fa-gavel
สิบตรี คอฟฟี่,หมวกทหาร (เหมือนนายพล),fa-solid fa-beret
บารอน มารูน,มงกุฎขุนนาง,fa-solid fa-crown
วิสเคานต์ เอมิเนนซ์,ชายแก่แต่งตัวคล้ายแวมไพร์,fa-solid fa-vampire
เคราดำ,หมวกโจรสลัด / หัวกะโหลกไขว้,fa-solid fa-skull-crossbones
เคราน้ำเงิน,ทรงหนวดเคราและสมอเรือ,fa-solid fa-anchor
ไร้เครา,โจรสลัดพาร์ทไทม์,fa-solid fa-hand-holding-dollar
บรรณาธิการ ไอวอรี่,ทรงผมหญิงวัยทำงาน,fa-solid fa-user-pen
ผู้ช่วย / ครูใหญ่ แอปเปิลกรีน,ทรงผมผู้หญิงมัดผม / ชายหัวล้านเปื้อนชอล์ก,fa-solid fa-chalkboard-user
เอเจนท์ อิงก์,ทรงผมหญิงสายลับเอเยนต์,fa-solid fa-user-secret
ประธาน ชอล์ก,ทรงผมผู้บริหารสูงวัย,fa-solid fa-user-tie
นักสืบ โลจิโก,หมวกนักสืบฟีโดร่า,fa-solid fa-user-detective
ซิลเวอร์ตัน ระดับตำนาน,ทรงผมพระเอกหนังยุคทอง,fa-solid fa-star
อธิการบดีทัสคานี,หมวกรับปริญญา,fa-solid fa-graduation-cap
รัฐมนตรี เซลาดอน,หมวกเหล็กทหาร,fa-solid fa-helmet-battle
ดัชเชสแห่งเวอร์มิลเลียน,มงกุฎดัชเชส,fa-solid fa-crown
คริปโตซูโอโลจิสต์ คลาวด์,ก้อนเมฆลึกลับ,fa-solid fa-cloud
นักสมุนไพร ออนิกซ์,หมวกชาวสวน / ต้นไม้,fa-solid fa-seedling
นักสังคมวิทยา อัมเบอร์,หมวกบีนนี่ (หมวกไหมพรม),fa-solid fa-hat-winter
นักภาษาศาสตร์ ฟลินต์,แว่นตาและผมเปีย,fa-solid fa-user-graduate
นักเลขศาสตร์ ไนท์,แว่นตาแตก,fa-solid fa-glasses
ปรมาจารย์เล่นแร่แปรธาตุ เรเวน,แว่นตากันลม (Goggles),fa-solid fa-goggles
สารวัตร อิร์ราติโน,ทรงผมหยักศกยาว,fa-solid fa-user-hair-long
มิกซ์ แทนเจอรีน,หมวกแก๊ปหันหน้า,fa-solid fa-cap-front
พลเรือเอก เนวี่,หมวกกะลาสีทหารเรือ,fa-solid fa-ship
,,
🔪 2. อาวุธ (Weapons),,
ชื่ออาวุธ (ไทย),Font Awesome Pro Icon,
ส้อม,fa-solid fa-fork,
ท่ออะลูมิเนียม / เหล็กเส้น,fa-solid fa-pipe,
เทียนไขหนัก / เทียนอธิษฐาน,fa-solid fa-candle-holder,
กับดักหมี,fa-solid fa-paw-claws,
อิฐธรรมดา,fa-solid fa-brick,
ฉมวก / ฉมวกหาปลา,fa-solid fa-staff,
ไวน์ผสมยาพิษ / ขวดไวน์,fa-solid fa-wine-bottle,
รูปปั้นแนวแอ็บสแตรกต์ / รูปปั้นครึ่งตัว,fa-solid fa-monument,
แจกันหายาก,fa-solid fa-vase,
มีด / มีดสำหรับจ้วง / ดาบเก่า,fa-solid fa-knife,
กระเป๋าเดินทางหนัง,fa-solid fa-suitcase,
หนังสือพิมพ์ม้วน (มีชะแลงข้างใน),fa-solid fa-newspaper,
หลอดกรด / ขวดไซยาไนด์ / ขวดยาพิษ,fa-solid fa-vial-virus,
กล้องจุลทรรศน์หนัก,fa-solid fa-microscope,
มีดผ่าตัดศัลยกรรม,fa-solid fa-scalpel,
สายเปียโน,fa-solid fa-wave-sine,
ชะแลง,fa-solid fa-crowbar,
ลูกดอกอาบยาพิษ,fa-solid fa-dart,
กรรไกรตัดแต่งกิ่งไม้,fa-solid fa-scissors,
ไหมพรม / เชือกกะลาสี / เชือกเสื้อผ้าแบรนด์เนม,fa-solid fa-yarn,
แว่นขยาย,fa-solid fa-magnifying-glass,
นาฬิกาโบราณ / นาฬิกาพกสะกดจิต,fa-solid fa-clock,
ขวาน / ขวานน้ำแข็ง,fa-solid fa-axe,
กระถางดอกไม้,fa-solid fa-plant-pot,
น้ำชาผสมยาพิษ,fa-solid fa-mug-hot,
ที่เปิดจุกไวน์,fa-solid fa-wine-glass-empty,
ลูกแก้วคริสตัล,fa-solid fa-crystal-ball,
หลอดโลหะ,fa-solid fa-straw,
ถ้วยกาแฟผสมยาพิษ / ช็อกโกแลตร้อนผสมยาพิษ,fa-solid fa-cup-togo,
ถุงผ้าโท้ท,fa-solid fa-bag-shopping,
อุปกรณ์พับกระดาษทำจากกระดูก / แขนโครงกระดูก,fa-solid fa-bone,
หนังสือปกอ่อน / หนังสือรหัสเล่มหนา,fa-solid fa-book,
กระบองเพชร,fa-solid fa-cactus,
เหล้าเถื่อนปนเปื้อน / รัมผสมยาพิษ,fa-solid fa-jug,
เชื้อกาฬโรค,fa-solid fa-biohazard,
คทาประดับเพชร,fa-solid fa-wand-magic,
ปืนใหญ่,fa-solid fa-bomb,
ดาบซิมิทาร์ / ดาบประกอบฉาก,fa-solid fa-sword,
แผนที่สมบัติปลอม,fa-solid fa-map,
เครื่องพิมพ์ดีดโบราณ,fa-solid fa-typewriter,
กองหนังสือขนาดยักษ์ / กองเอกสารมหึมา,fa-solid fa-books,
กระดาษหนึ่งรีม,fa-solid fa-file-lines,
สมอเรือโบราณ,fa-solid fa-anchor,
ปากกาทองคำ / ปากกาหมึกซึม,fa-solid fa-pen-nib,
ลูกฉลาม,fa-solid fa-fish-fins,
ถ้วยรางวัล,fa-solid fa-trophy,
แล็ปท็อป,fa-solid fa-laptop,
เซกซ์แทนท์ (เครื่องมือวัดมุมดาว),fa-solid fa-compass-drafting,
ใบปริญญา,fa-solid fa-certificate,
ถุงมือหนัง,fa-solid fa-mitten,
ถังน้ำมัน / ขวดน้ำมัน,fa-solid fa-barrel,
สัญญาที่น่าสับสน,fa-solid fa-file-signature,
ตราประทับทนายความ,fa-solid fa-stamp,
ตาชั่งแห่งยุติธรรม,fa-solid fa-scale-balanced,
กระบอง,fa-solid fa-baseball-bat-ball,
ค้อนไม้พิพากษา,fa-solid fa-gavel,
ธง,fa-solid fa-flag,
ทนายความค่าตัวสองแสนฯ,fa-solid fa-sack-dollar,
กุญแจมือทองคำ,fa-solid fa-handcuffs,
กริชพิธีกรรม / กริชคริสตัล / กริชหยาดน้ำแข็ง,fa-solid fa-dagger,
แมงมุมพิษ,fa-solid fa-spider,
เครื่องจักรพลังงานกึ่งนิรันดร์,fa-solid fa-gear,
ไม้พยากรณ์หาแหล่งน้ำ / ไม้กายสิทธิ์เซเลไนต์,fa-solid fa-wand-magic-sparkles,
น้ำมันก่อภูมิแพ้รุนแรง,fa-solid fa-bottle-droplet,
เข็มกลัดสุดพิเศษ,fa-solid fa-map-pin,
สำรับไพ่มาโรต์,fa-solid fa-cards,
เครื่องมือเทียมวิทยาศาสตร์,fa-solid fa-atom,
สมองในโหลแก้ว,fa-solid fa-brain,
แม่เหล็กยักษ์,fa-solid fa-magnet,
ทัพพีตักซุป,fa-solid fa-spoon,
กะโหลกคริสตัล,fa-solid fa-skull,
สายประคำ,fa-solid fa-link,
พลุไฟ,fa-solid fa-rocket,
กระดานผีถ้วยแก้ว,fa-solid fa-ghost,
มัฟฟินผสมยาพิษ / ป๊อปคอร์นผสมยาพิษ,fa-solid fa-popcorn,
ถุงซักผ้าใส่มีดเต็มถุง,fa-solid fa-sack,
