👤 1. ผู้ต้องสงสัย (Suspects),,
,,
ชื่อผู้ต้องสงสัย,ไอคอนแนะนำ (FontAwesome Pro),เหตุผล
มิสเตอร์แชโดว์ (Mister Shadow),fa-solid fa-user-secret,ร่างเงาลึกลับในชุดโค้ท
หลวงพ่อแมงโก้ (Father Mango),fa-solid fa-user-priest,นักบวชผู้ถือสัจจะ (ยกเว้นเรื่อง BMW)
ลอร์ดลาเวนเดอร์ (Lord Lavender),fa-solid fa-user-crown,สมาชิกสภาขุนนางผู้สูงศักดิ์
เจ้าหน้าที่คอปเปอร์ (Officer Copper),fa-solid fa-user-police,ตำรวจหญิงจอมฉ้อฉล
บิชอป อะซูร์ (Bishop Azure),fa-solid fa-chess-bishop,บิชอปหญิงผู้เคร่งครัด
มัคนายิกา เวอร์ดิกริส (Deacon Verdigris),fa-solid fa-glasses,ผู้ดูแลบัญชีและความลับของโบสถ์
บราเธอร์ บราวน์สโตน (Brother Brownstone),fa-solid fa-person-praying,นักบวชผู้ทุ่มเทให้การหาเงิน
วิสเคานต์ เอมิเนนซ์ (Viscount Eminence),fa-solid fa-user-tie,ขุนนางชราผู้ผ่านกาลเวลามานาน
เดอะ ดัชเชส ออฟ เวอร์มิลเลียน (Duchess of Vermillion),fa-solid fa-user-hair-long,หญิงชราผู้สูงศักดิ์และมีลับลมคมใน
บารอน มารูน (Baron Maroon),fa-solid fa-user-crown,บารอนขี้โมโหผู้ถือทิฐิสูง
บุ๊กกี้-วินเนอร์ เกนส์โบโร (Gainsboro),fa-solid fa-book-open-reader,นักเขียนรางวัลใหญ่ที่เขียนเรื่องดิน
ประธานชอล์ก (Chairman Chalk),fa-solid fa-user-tie-hair-long,เศรษฐีพันล้านจอมเผด็จการ
บรรณาธิการ ไอวอรี่ (Editor Ivory),fa-solid fa-pen-nib,บรรณาธิการนิยายรักชื่อดัง
เอเยนต์ อิงค์ (Agent Ink),fa-solid fa-briefcase,เอเยนต์ผู้คลั่งไคล้เงินทอง
สหายแชมเปญ (Comrade Champagne),fa-solid fa-user-visor,คอมมิวนิสต์ผู้มั่งคั่ง
เอ็มเอ็กซ์ แทนเจอรีน (Mx. Tangerine),fa-solid fa-user-astronaut,ชาวคอมมูนผู้มีความหลากหลาย
ผู้ช่วย แอปเปิลกรีน (Assistant Applegreen),fa-solid fa-user-graduate,ลูกสาวครูใหญ่ผู้ผันตัวมาอยู่คอมมูน
ครูใหญ่ แอปเปิลกรีน (Principal Applegreen),fa-solid fa-chalkboard-user,ครูใหญ่ผู้เข้มงวดและมือเปื้อนชอล์ก
ประธานาธิบดีอมารันต์ (President Amaranth),fa-solid fa-user-tie,ประธานาธิบดีฝรั่งเศสผู้สูงเกียรติ
กัปตันสเลต (Captain Slate),fa-solid fa-user-astronaut,นักบินอวกาศหญิงผู้มีประวัติน่าสงสัย
มิดไนท์ ที่ 3 (Midnight III),fa-solid fa-clapperboard,ทายาทสตูดิโอหนังชื่อดัง
มิสเตอร์ออร์ดินารี่ บลูสกาย (Blue Sky),fa-solid fa-user-ninja,ชาวอเมริกันผู้มีสำเนียงรัสเซีย (ตัวจริงคือบลูสกี้)
ดร. คริมสัน (Dr. Crimson),fa-solid fa-stethoscope,หมอที่ฉลาดที่สุด (ตามคำกล่าวอ้างของเธอ)
ซิสเตอร์ ลาพิส (Sister Lapis),fa-solid fa-user-nurse,แม่ชีผู้ใช้ชีวิตหรูหราด้วยเงินบริจาค
คณบดี กลอคัส (Dean Glaucous),fa-solid fa-university,คณบดีผู้จัดการเรื่องเงินๆ ทองๆ
มิสซัฟฟรอน (Miss Saffron),fa-solid fa-user-hair-buns,หญิงสาวสวยสง่าผู้แสร้งทำเป็นไม่ฉลาด
อธิการบดี ทัสคานี (Chancellor Tuscany),fa-solid fa-user-graduate,หัวหน้าวิทยาลัยการสืบนิรนัย
นักปรัชญา โบน (Philosopher Bone),fa-solid fa-brain,นักปรัชญาจอมโยนความรับผิดชอบ
นักคริปโตซูโอโลจิสต์ คลาวด์ (Cloud),fa-solid fa-binoculars,ผู้เชี่ยวชาญเรื่องบิ๊กฟุตและเยติ
พลเรือเอก มารีน (Amiral Marine),fa-solid fa-anchor,ทายาทตระกูลกองทัพเรืออันยาวนาน
เลดี้ ไวโอเล็ต (Lady Violet),fa-solid fa-crown,ผู้ค้นพบเกาะไวโอเล็ต
